details,class,R,G,B,UV
0 ppm,0,0.677,1.198,1.372,2.818
0 ppm,0,0.638,1.207,1.388,2.807
0 ppm,0,0.627,1.242,1.416,2.803
0 ppm,0,0.633,1.194,1.42,2.79
0 ppm,0,0.623,1.189,1.394,2.787
0 ppm,0,0.645,1.205,1.39,2.806
0 ppm,0,0.637,1.198,1.388,2.791
0 ppm,0,0.637,1.192,1.394,2.805
0 ppm,0,0.651,1.197,1.424,2.829
0 ppm,0,0.653,1.194,1.382,2.8
0 ppm,0,0.61,1.192,1.394,2.805
0 ppm,0,0.636,1.186,1.394,2.787
0 ppm,0,0.634,1.198,1.393,2.797
0 ppm,0,0.646,1.192,1.382,2.8
0 ppm,0,0.634,1.199,1.383,2.804
0 ppm,0,0.626,1.199,1.39,2.784
0 ppm,0,0.634,1.187,1.393,2.787
0 ppm,0,0.655,1.203,1.388,2.805
0 ppm,0,0.657,1.182,1.391,2.795
0 ppm,0,0.63,1.194,1.38,2.8
0 ppm,0,0.646,1.199,1.394,2.799
0 ppm,0,0.641,1.159,1.409,2.8
0 ppm,0,0.637,1.226,1.39,2.805
0 ppm,0,0.643,1.19,1.394,2.805
0 ppm,0,0.655,1.185,1.39,2.8
0 ppm,0,0.632,1.225,1.385,2.818
0 ppm,0,0.638,1.199,1.394,2.805
0 ppm,0,0.614,1.199,1.394,2.806
0 ppm,0,0.641,1.198,1.416,2.781
0 ppm,0,0.627,1.203,1.394,2.785
0 ppm,0,0.649,1.199,1.384,2.8
0 ppm,0,0.648,1.211,1.391,2.786
0 ppm,0,0.637,1.221,1.384,2.795
0 ppm,0,0.633,1.204,1.383,2.809
0 ppm,0,0.638,1.191,1.394,2.793
0 ppm,0,0.634,1.191,1.382,2.811
0 ppm,0,0.631,1.201,1.38,2.804
0 ppm,0,0.624,1.199,1.383,2.8
0 ppm,0,0.635,1.199,1.424,2.805
0 ppm,0,0.612,1.198,1.423,2.814
0 ppm,0,0.649,1.199,1.394,2.805
0 ppm,0,0.627,1.202,1.384,2.809
0 ppm,0,0.626,1.199,1.383,2.813
0 ppm,0,0.631,1.201,1.409,2.797
0 ppm,0,0.636,1.201,1.394,2.787
0 ppm,0,0.649,1.187,1.387,2.805
0 ppm,0,0.637,1.186,1.394,2.803
0 ppm,0,0.647,1.187,1.393,2.814
0 ppm,0,0.631,1.199,1.394,2.791
