Concentration,Class,R,G,B,UV,RG,RB,RUV,GB,GUV,BUV
air,0,0.67942,1.26938,1.4301,2.12198,-0.58996,-0.75068,-1.44256,-0.16072,-0.8526,-0.69188
DI Water,1,0.62804,1.1697,1.32902,2.68584,-0.54166,-0.70098,-2.0578,-0.15932,-1.51614,-1.35682
0 ppm,2,0.63712,1.198,1.3932,2.80148,-0.56088,-0.75608,-2.16436,-0.1952,-1.60348,-1.40828
0.1 ppm,3,0.61676,1.1753,1.36494,2.80522,-0.55854,-0.74818,-2.18846,-0.18964,-1.62992,-1.44028
0.2 ppm,4,0.6242,1.19822,1.39042,2.82776,-0.57402,-0.76622,-2.20356,-0.1922,-1.62954,-1.43734
0.3 ppm,5,0.61984,1.18922,1.37878,2.82542,-0.56938,-0.75894,-2.20558,-0.18956,-1.6362,-1.44664
0.4 ppm,6,0.63426,1.2016,1.4275,2.84868,-0.56734,-0.79324,-2.21442,-0.2259,-1.64708,-1.42118
0.5 ppm,7,0.61924,1.1862,1.37926,2.82444,-0.56696,-0.76002,-2.2052,-0.19306,-1.63824,-1.44518
0.6 ppm,8,0.63016,1.19854,1.38812,2.84052,-0.56838,-0.75796,-2.21036,-0.18958,-1.64198,-1.4524
0.7 ppm,9,0.61256,1.1745,1.36888,2.8322,-0.56194,-0.75632,-2.21964,-0.19438,-1.6577,-1.46332
0.8 ppm,10,0.61248,1.16846,1.39318,2.8474,-0.55598,-0.7807,-2.23492,-0.22472,-1.67894,-1.45422
ambient,0,0.70046,1.32994,1.51486,2.3121,-0.62948,-0.8144,-1.61164,-0.18492,-0.98216,-0.79724
0.1ppm2,3,0.71948,1.36888,1.64154,3.03952,-0.6494,-0.92206,-2.32004,-0.27266,-1.67064,-1.39798
0.4ppm2,6,0.80654,1.49824,1.77306,3.13546,-0.6917,-0.96652,-2.32892,-0.27482,-1.63722,-1.3624
0.5ppm2,7,0.74402,1.3952,1.67876,3.07684,-0.65118,-0.93474,-2.33282,-0.28356,-1.68164,-1.39808
0.8ppm2,10,0.78464,1.46614,1.7519,3.10746,-0.6815,-0.96726,-2.32282,-0.28576,-1.64132,-1.35556
