details,R,G,B,UV,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50
DI Water,255,0,0,0,0.623,0.613,0.664,0.651,0.664,0.627,0.651,0.628,0.649,0.598,0.650,0.610,0.610,0.623,0.610,0.627,0.627,0.646,0.626,0.610,0.614,0.646,0.614,0.649,0.650,0.614,0.606,0.625,0.629,0.599,0.651,0.634,0.626,0.606,0.639,0.634,0.637,0.640,0.611,0.625,0.619,0.613,0.608,0.625,0.619,0.639,0.623,0.638,0.642,0.620,
DI Water,0,255,0,0,1.176,1.156,1.159,1.207,1.156,1.201,1.165,1.173,1.177,1.171,1.171,1.189,1.177,1.163,1.169,1.166,1.173,1.172,1.172,1.187,1.178,1.145,1.150,1.173,1.159,1.161,1.173,1.138,1.184,1.161,1.150,1.165,1.148,1.166,1.173,1.173,1.182,1.173,1.163,1.172,1.173,1.147,1.182,1.161,1.180,1.166,1.159,1.184,1.176,1.190,
DI Water,0,0,255,0,1.319,1.316,1.319,1.326,1.337,1.311,1.335,1.331,1.332,1.332,1.328,1.330,1.331,1.347,1.319,1.335,1.320,1.328,1.337,1.343,1.323,1.350,1.303,1.329,1.327,1.322,1.345,1.299,1.350,1.327,1.332,1.319,1.330,1.345,1.337,1.343,1.328,1.334,1.348,1.327,1.322,1.299,1.306,1.309,1.350,1.347,1.341,1.342,1.319,1.322,
DI Water,0,0,0,255,2.672,2.690,2.693,2.698,2.712,2.682,2.679,2.670,2.683,2.689,2.680,2.703,2.691,2.683,2.688,2.685,2.697,2.671,2.699,2.692,2.710,2.690,2.677,2.683,2.684,2.685,2.675,2.684,2.657,2.685,2.685,2.687,2.688,2.675,2.692,2.680,2.693,2.684,2.682,2.703,2.692,2.673,2.681,2.691,2.676,2.684,2.693,2.666,2.697,2.683,
0 ppm,255,0,0,0,0.677,0.638,0.627,0.633,0.623,0.645,0.637,0.637,0.651,0.653,0.610,0.636,0.634,0.646,0.634,0.626,0.634,0.655,0.657,0.630,0.646,0.641,0.637,0.643,0.655,0.632,0.638,0.614,0.641,0.627,0.649,0.648,0.637,0.633,0.638,0.634,0.631,0.624,0.635,0.612,0.649,0.627,0.626,0.631,0.636,0.649,0.637,0.647,0.631,0.625,
0 ppm,0,255,0,0,1.198,1.207,1.242,1.194,1.189,1.205,1.198,1.192,1.197,1.194,1.192,1.186,1.198,1.192,1.199,1.199,1.187,1.203,1.182,1.194,1.199,1.159,1.226,1.190,1.185,1.225,1.199,1.199,1.198,1.203,1.199,1.211,1.221,1.204,1.191,1.191,1.201,1.199,1.199,1.198,1.199,1.202,1.199,1.201,1.201,1.187,1.186,1.187,1.199,1.194,
0 ppm,0,0,255,0,1.372,1.388,1.416,1.420,1.394,1.390,1.388,1.394,1.424,1.382,1.394,1.394,1.393,1.382,1.383,1.390,1.393,1.388,1.391,1.380,1.394,1.409,1.390,1.394,1.390,1.385,1.394,1.394,1.416,1.394,1.384,1.391,1.384,1.383,1.394,1.382,1.380,1.383,1.424,1.423,1.394,1.384,1.383,1.409,1.394,1.387,1.394,1.393,1.394,1.384,
0 ppm,0,0,0,255,2.818,2.807,2.803,2.790,2.787,2.806,2.791,2.805,2.829,2.800,2.805,2.787,2.797,2.800,2.804,2.784,2.787,2.805,2.795,2.800,2.799,2.800,2.805,2.805,2.800,2.818,2.805,2.806,2.781,2.785,2.800,2.786,2.795,2.809,2.793,2.811,2.804,2.800,2.805,2.814,2.805,2.809,2.813,2.797,2.787,2.805,2.803,2.814,2.791,2.829,
0.1 ppm,255,0,0,0,0.641,0.610,0.610,0.629,0.614,0.612,0.614,0.610,0.610,0.617,0.614,0.612,0.609,0.612,0.625,0.614,0.612,0.619,0.612,0.619,0.615,0.617,0.614,0.606,0.614,0.614,0.610,0.620,0.634,0.616,0.636,0.614,0.619,0.613,0.625,0.614,0.619,0.606,0.614,0.617,0.614,0.625,0.625,0.609,0.626,0.591,0.614,0.623,0.625,0.634,
0.1 ppm,0,255,0,0,1.190,1.179,1.176,1.173,1.152,1.173,1.168,1.178,1.174,1.176,1.168,1.173,1.175,1.173,1.170,1.173,1.173,1.176,1.175,1.176,1.178,1.172,1.181,1.173,1.175,1.173,1.191,1.178,1.163,1.173,1.187,1.186,1.172,1.173,1.184,1.163,1.176,1.186,1.197,1.171,1.175,1.172,1.173,1.178,1.172,1.166,1.178,1.175,1.175,1.178,
0.1 ppm,0,0,255,0,1.372,1.371,1.358,1.336,1.365,1.346,1.350,1.369,1.367,1.358,1.358,1.356,1.367,1.356,1.362,1.367,1.340,1.360,1.364,1.372,1.378,1.362,1.365,1.367,1.367,1.368,1.369,1.369,1.367,1.368,1.367,1.357,1.368,1.374,1.384,1.383,1.367,1.368,1.367,1.384,1.358,1.336,1.342,1.376,1.370,1.381,1.372,1.356,1.381,1.382,
0.1 ppm,0,0,0,255,2.822,2.797,2.819,2.814,2.815,2.817,2.812,2.827,2.815,2.815,2.794,2.800,2.805,2.802,2.800,2.805,2.812,2.798,2.811,2.813,2.800,2.789,2.805,2.804,2.800,2.809,2.799,2.822,2.809,2.798,2.789,2.797,2.802,2.794,2.804,2.809,2.807,2.805,2.795,2.808,2.811,2.786,2.804,2.807,2.805,2.812,2.804,2.799,2.800,2.795,
0.2 ppm,255,0,0,0,0.606,0.645,0.612,0.614,0.648,0.625,0.627,0.638,0.625,0.633,0.634,0.621,0.610,0.623,0.637,0.614,0.610,0.636,0.621,0.629,0.625,0.614,0.610,0.625,0.614,0.625,0.619,0.622,0.619,0.619,0.647,0.627,0.629,0.620,0.611,0.625,0.631,0.623,0.610,0.630,0.623,0.614,0.648,0.626,0.622,0.626,0.630,0.604,0.634,0.630,
0.2 ppm,0,255,0,0,1.220,1.218,1.186,1.197,1.199,1.202,1.205,1.186,1.226,1.199,1.192,1.228,1.195,1.192,1.214,1.194,1.199,1.194,1.214,1.199,1.199,1.189,1.199,1.208,1.199,1.192,1.199,1.186,1.192,1.194,1.195,1.199,1.182,1.205,1.189,1.195,1.199,1.186,1.192,1.199,1.192,1.184,1.225,1.199,1.200,1.186,1.199,1.177,1.194,1.198,
0.2 ppm,0,0,255,0,1.394,1.394,1.390,1.388,1.411,1.374,1.384,1.432,1.388,1.376,1.390,1.394,1.394,1.387,1.382,1.364,1.387,1.384,1.391,1.384,1.382,1.423,1.419,1.376,1.393,1.383,1.394,1.382,1.382,1.394,1.394,1.391,1.387,1.383,1.382,1.356,1.385,1.412,1.386,1.391,1.381,1.394,1.390,1.394,1.381,1.394,1.394,1.393,1.394,1.423,
0.2 ppm,0,0,0,255,2.842,2.843,2.827,2.845,2.834,2.842,2.859,2.823,2.832,2.832,2.814,2.841,2.823,2.827,2.827,2.812,2.819,2.832,2.816,2.816,2.823,2.838,2.821,2.835,2.814,2.824,2.824,2.823,2.831,2.821,2.838,2.824,2.846,2.823,2.823,2.817,2.833,2.824,2.858,2.818,2.827,2.818,2.828,2.824,2.823,2.819,2.823,2.823,2.812,2.827,
0.3 ppm,255,0,0,0,0.627,0.621,0.616,0.612,0.598,0.614,0.625,0.578,0.624,0.614,0.644,0.610,0.650,0.601,0.618,0.617,0.633,0.601,0.612,0.638,0.614,0.603,0.610,0.638,0.617,0.614,0.623,0.621,0.624,0.619,0.623,0.618,0.650,0.646,0.607,0.591,0.621,0.636,0.596,0.626,0.625,0.614,0.614,0.613,0.653,0.637,0.624,0.623,0.614,0.625,
0.3 ppm,0,255,0,0,1.190,1.191,1.179,1.186,1.185,1.194,1.207,1.181,1.181,1.220,1.194,1.188,1.185,1.181,1.178,1.225,1.194,1.182,1.212,1.173,1.152,1.173,1.185,1.192,1.179,1.212,1.207,1.213,1.171,1.188,1.182,1.185,1.199,1.189,1.186,1.194,1.179,1.187,1.184,1.181,1.211,1.212,1.188,1.165,1.186,1.199,1.182,1.194,1.196,1.164,
0.3 ppm,0,0,255,0,1.374,1.382,1.377,1.377,1.389,1.378,1.380,1.374,1.382,1.387,1.382,1.378,1.412,1.381,1.394,1.394,1.371,1.367,1.382,1.378,1.371,1.384,1.365,1.345,1.372,1.381,1.371,1.380,1.367,1.386,1.372,1.360,1.374,1.360,1.394,1.373,1.370,1.378,1.382,1.382,1.394,1.394,1.375,1.382,1.371,1.386,1.385,1.375,1.394,1.377,
0.3 ppm,0,0,0,255,2.846,2.814,2.820,2.821,2.822,2.849,2.825,2.829,2.824,2.823,2.827,2.822,2.840,2.827,2.836,2.823,2.821,2.824,2.811,2.830,2.826,2.829,2.838,2.815,2.830,2.833,2.835,2.841,2.822,2.812,2.808,2.823,2.817,2.805,2.815,2.832,2.852,2.809,2.836,2.821,2.823,2.821,2.822,2.831,2.823,2.842,2.843,2.793,2.828,2.812,
0.4 ppm,255,0,0,0,0.635,0.636,0.635,0.652,0.651,0.618,0.627,0.627,0.625,0.625,0.634,0.618,0.634,0.648,0.646,0.630,0.632,0.652,0.629,0.630,0.637,0.643,0.648,0.632,0.634,0.626,0.625,0.633,0.642,0.630,0.634,0.648,0.634,0.633,0.627,0.634,0.602,0.633,0.663,0.633,0.630,0.636,0.634,0.650,0.641,0.631,0.632,0.624,0.634,0.626,
0.4 ppm,0,255,0,0,1.190,1.206,1.231,1.194,1.210,1.175,1.200,1.199,1.233,1.227,1.186,1.204,1.210,1.194,1.199,1.199,1.203,1.221,1.202,1.199,1.198,1.202,1.199,1.201,1.205,1.199,1.190,1.228,1.225,1.199,1.204,1.225,1.199,1.177,1.199,1.228,1.201,1.199,1.163,1.199,1.194,1.187,1.201,1.195,1.210,1.199,1.187,1.199,1.194,1.192,
